local_file_id	path_stub_or_redacted_path	file_name	extension	file_size_bytes	modified_date	probable_author_from_path	probable_title_from_filename	probable_year_from_filename	probable_volume_issue_from_filename	folder_context	is_probable_jbrs	manifest_confidence	needs_manual_review	notes
012032-07c032db1507	Burmese/Burma JBRS/JBRS Originals/012032.pdf	012032.pdf	pdf	267335						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012036-eda6c7c876c5	Burmese/Burma JBRS/JBRS Originals/012036.pdf	012036.pdf	pdf	465399						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012043-4286c1a6de46	Burmese/Burma JBRS/JBRS Originals/012043.pdf	012043.pdf	pdf	309306						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012046-6bfa8d9cff88	Burmese/Burma JBRS/JBRS Originals/012046.pdf	012046.pdf	pdf	368229						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012051-26b3daa6d9eb	Burmese/Burma JBRS/JBRS Originals/012051.pdf	012051.pdf	pdf	119520						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012052-fe53d0c198f6	Burmese/Burma JBRS/JBRS Originals/012052.pdf	012052.pdf	pdf	284706						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012056-12aff3914a7b	Burmese/Burma JBRS/JBRS Originals/012056.pdf	012056.pdf	pdf	94794						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012057-b4e681683902	Burmese/Burma JBRS/JBRS Originals/012057.pdf	012057.pdf	pdf	205637						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012059-c3c491571363	Burmese/Burma JBRS/JBRS Originals/012059.pdf	012059.pdf	pdf	55122						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012060-f73951f77186	Burmese/Burma JBRS/JBRS Originals/012060.pdf	012060.pdf	pdf	408575						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012065-b07d064cecce	Burmese/Burma JBRS/JBRS Originals/012065.pdf	012065.pdf	pdf	132150						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012067-e5fc57d93c5d	Burmese/Burma JBRS/JBRS Originals/012067.pdf	012067.pdf	pdf	51942						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012067a-601ee68843c6	Burmese/Burma JBRS/JBRS Originals/012067A.pdf	012067A.pdf	pdf	69629						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012068-c4a199952595	Burmese/Burma JBRS/JBRS Originals/012068.pdf	012068.pdf	pdf	71849						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012069-5daf08d19d51	Burmese/Burma JBRS/JBRS Originals/012069.pdf	012069.pdf	pdf	63630						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012070-547bab4a118e	Burmese/Burma JBRS/JBRS Originals/012070.pdf	012070.pdf	pdf	174351						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012072-e81b51e12494	Burmese/Burma JBRS/JBRS Originals/012072.pdf	012072.pdf	pdf	39455						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012072a-a13976f0d7e1	Burmese/Burma JBRS/JBRS Originals/012072A.pdf	012072A.pdf	pdf	279165						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012076-d42545ae8db2	Burmese/Burma JBRS/JBRS Originals/012076.pdf	012076.pdf	pdf	60558						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012077-074ec0a2c2fc	Burmese/Burma JBRS/JBRS Originals/012077.pdf	012077.pdf	pdf	80380						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012078-8e8f573b5574	Burmese/Burma JBRS/JBRS Originals/012078.pdf	012078.pdf	pdf	25124						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012078a-f209df9c93e6	Burmese/Burma JBRS/JBRS Originals/012078A.pdf	012078A.pdf	pdf	109996						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012080-2d97390c74ec	Burmese/Burma JBRS/JBRS Originals/012080.pdf	012080.pdf	pdf	83926						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012081-395dd805f286	Burmese/Burma JBRS/JBRS Originals/012081.pdf	012081.pdf	pdf	26293						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012081a-73fe4a41713a	Burmese/Burma JBRS/JBRS Originals/012081A.pdf	012081A.pdf	pdf	86537						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012083-3498e3d21191	Burmese/Burma JBRS/JBRS Originals/012083.pdf	012083.pdf	pdf	98072						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012084-b3cd6bb058eb	Burmese/Burma JBRS/JBRS Originals/012084.pdf	012084.pdf	pdf	187677						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012087-e2bd6cc7dcd7	Burmese/Burma JBRS/JBRS Originals/012087.pdf	012087.pdf	pdf	111250						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012088-e86d63d4ea13	Burmese/Burma JBRS/JBRS Originals/012088.pdf	012088.pdf	pdf	193156						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012091-ea5f99cad5f1	Burmese/Burma JBRS/JBRS Originals/012091.pdf	012091.pdf	pdf	200899						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012095-732e408367a4	Burmese/Burma JBRS/JBRS Originals/012095.pdf	012095.pdf	pdf	64810						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021001-6827aa20ae1c	Burmese/Burma JBRS/JBRS Originals/021001.pdf	021001.pdf	pdf	399455						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021008-a56d140a2ccb	Burmese/Burma JBRS/JBRS Originals/021008.pdf	021008.pdf	pdf	689690						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021030-ab92c7699c27	Burmese/Burma JBRS/JBRS Originals/021030.pdf	021030.pdf	pdf	502950						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021038-b4487e7a4dfa	Burmese/Burma JBRS/JBRS Originals/021038.pdf	021038.pdf	pdf	396411						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021044-f3332e157ab6	Burmese/Burma JBRS/JBRS Originals/021044.pdf	021044.pdf	pdf	822169						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021057-21ee07e3d244	Burmese/Burma JBRS/JBRS Originals/021057.pdf	021057.pdf	pdf	303767						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021062-e2f85a8b8af1	Burmese/Burma JBRS/JBRS Originals/021062.pdf	021062.pdf	pdf	140706						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021065-7d12b6fc10ff	Burmese/Burma JBRS/JBRS Originals/021065.pdf	021065.pdf	pdf	327228						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021073-b64992e4dedb	Burmese/Burma JBRS/JBRS Originals/021073.pdf	021073.pdf	pdf	46934						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021074-45acef3dcde3	Burmese/Burma JBRS/JBRS Originals/021074.pdf	021074.pdf	pdf	160578						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021076-a86f4eef601a	Burmese/Burma JBRS/JBRS Originals/021076.pdf	021076.pdf	pdf	24888						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021077-cb1bb51e1418	Burmese/Burma JBRS/JBRS Originals/021077.pdf	021077.pdf	pdf	68848						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021078-d339497ee1dd	Burmese/Burma JBRS/JBRS Originals/021078.pdf	021078.pdf	pdf	714384						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
