candidate_rank	local_file_id	batch_id	file_name	year	ocr_text_path	language_scope_guess	burmese_relevance_guess	translation_hit_count	text_hit_count	inscription_hit_count	strongest_markers	sample_pages	reason_for_priority	recommended_next_action	notes
39	may_oung_1929_prome_and_the_pyus_jbrs_2_-b82612456f38	jbrs-ocr-3337	021072.pdf		data/working/ocr/jbrs/text/may_oung_1929_prome_and_the_pyus_jbrs_2_-b82612456f38.txt	Burmese	direct_burmese_relevance	0	0	3	inscription x2, pyu inscription x1	page 2, page 1	Burmese; 3 inscription hits; article-level PDF	review_source_text_boundaries	
40	1968-burmeselanguages-luce1968-pdf	jbrs-ocr-1551	BurmeseLanguages-Luce1968.pdf	1968	data/working/ocr/jbrs/text/1968-burmeselanguages-luce1968-pdf.txt	Burmese	direct_burmese_relevance	0	0	2	inscription x1, inscriptions x1	page 1	Burmese; 2 inscription hits	review_source_text_boundaries	
41	1912-duroiselle1912-burmeseprosody-iii-pdf	jbrs-ocr-0720	Duroiselle1912-BurmeseProsody-III.pdf	1912	data/working/ocr/jbrs/text/1912-duroiselle1912-burmeseprosody-iii-pdf.txt	Burmese	direct_burmese_relevance	0	0	0			Burmese	manual_scope_review_before_extraction	
42	1912-originburmese-brown1912-pdf	jbrs-ocr-0730	OriginBurmese-Brown1912.pdf	1912	data/working/ocr/jbrs/text/1912-originburmese-brown1912-pdf.txt	Burmese	direct_burmese_relevance	0	0	0			Burmese	manual_scope_review_before_extraction	
43	1920-eraofdecay-sayapi1920-inburmese-pdf	jbrs-ocr-0892	EraOfDecay_SayaPi1920-inBurmese.pdf	1920	data/working/ocr/jbrs/text/1920-eraofdecay-sayapi1920-inburmese-pdf.txt	Burmese	direct_burmese_relevance	0	0	0			Burmese	manual_scope_review_before_extraction	
44	1920-sayabe-1920-burmese-apocalypse-pdf	jbrs-ocr-0897	SayaBe-1920-burmese-apocalypse.pdf	1920	data/working/ocr/jbrs/text/1920-sayabe-1920-burmese-apocalypse-pdf.txt	Burmese	direct_burmese_relevance	0	0	0			Burmese	manual_scope_review_before_extraction	
45	1923-burmesegardening-cooper1923-pdf	jbrs-ocr-0986	BurmeseGardening-Cooper1923.pdf	1923	data/working/ocr/jbrs/text/1923-burmesegardening-cooper1923-pdf.txt	Burmese	direct_burmese_relevance	0	0	0			Burmese	manual_scope_review_before_extraction	
46	1934-george-1934-a-note-on-elementary-burmese-astrology-pdf	jbrs-ocr-1193	George-1934-a-note-on-elementary-burmese-astrology.pdf	1934	data/working/ocr/jbrs/text/1934-george-1934-a-note-on-elementary-burmese-astrology-pdf.txt	Burmese	direct_burmese_relevance	0	0	0			Burmese	manual_scope_review_before_extraction	
47	1937-burmeserule-at-toungoo-langhamcarter1937-pdf	jbrs-ocr-1244	BurmeseRule-at-Toungoo-LanghamCarter1937.pdf	1937	data/working/ocr/jbrs/text/1937-burmeserule-at-toungoo-langhamcarter1937-pdf.txt	Burmese	direct_burmese_relevance	0	0	0			Burmese	manual_scope_review_before_extraction	
48	1938-siamburma-inburmese1938b-pdf	jbrs-ocr-1255	SiamBurma_inBurmese1938B.pdf	1938	data/working/ocr/jbrs/text/1938-siamburma-inburmese1938b-pdf.txt	Burmese	direct_burmese_relevance	0	0	0			Burmese	manual_scope_review_before_extraction	
49	1948-pagansittan1-in-burmese-furnivall1948-pdf	jbrs-ocr-1307	PaganSittan1(in Burmese)-Furnivall1948.pdf	1948	data/working/ocr/jbrs/text/1948-pagansittan1-in-burmese-furnivall1948-pdf.txt	Burmese	direct_burmese_relevance	0	0	0			Burmese	manual_scope_review_before_extraction	
50	1950-pagansittan1-in-burmese-furnivall1950-pdf	jbrs-ocr-1320	PaganSittan1(in Burmese)-Furnivall1950.pdf	1950	data/working/ocr/jbrs/text/1950-pagansittan1-in-burmese-furnivall1950-pdf.txt	Burmese	direct_burmese_relevance	0	0	0			Burmese	manual_scope_review_before_extraction	
