record_id	title_original	source_deposit	translation_status	notes
obi-v01-n0066-ob-p0105	ပင်းစက္ကလန်ပ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0066-re-p0106	ပင်းစက္ကလန်ပ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0067-ob-p0106	သူကြွယ် ရျင်သင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0068-ob-p0107	ငါရသင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0069-ob-p0108	မင်းမယားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0070-ob-p0111	နားတောင်းသိခင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0071-ob-p0112	ဖုန်းသည် အသင်္ခယာ လင်မယားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0071-re-p0114	ဖုန်းသည် အသင်္ခယာ လင်မယားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0072-ob-p0116	အမိ ပုရှားမိ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0073-ob-p0117	မန္တလေးနန်းတွင်းရုံအမှတ် ၂၉၆ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0074-ob-p0118	ဖုန်းသည် သင်္ဃာကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0075-tx-p0118	သူကြိမ် အိုမ်ပုလဲ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0076-ob-p0119	သင်ကြီး အိုဆုံသင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0077-ob-p0121	မင်းသားဂူဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0077-tx-p0122	မင်းသားဂူဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0078-ob-p0123	ဟန်လင်းကျောက်စာရုံ အမှတ် ၃ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0079-ob-p0124	ပြသာဒ်လှကျောင်း ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0080-ob-p0125	ငါဖ္လစ်သင်နှင့် အိုဆုံသင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0081-ob-p0125	သမန္တသု မယားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0082-ob-p0127	သုခမိန်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0082-re-p0127	သုခမိန် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0083-ob-p0128	မန္တလေးနန်းတွင်းရုံ ကျောက်တိုင်အမှတ် ၂၅၉ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0084-ob-p0129	နားတောင်းများမင်းကြီး ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0085-ob-p0130	ဖုန်သည် ဓမ္မလျကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0085-re-p0132	ဖုန်သည် ဓမ္မလျ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0086-tx-p0133	ခင်မိပယ်ပိုသီ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0087-ob-p0133	ရွှေမင်းကျောင်းဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0088-ob-p0134	ဟန်လင်းကျောက်စာရုံအမှတ် ၁၈ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0089-ob-p0136	မတရာသင်တို့ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0090-ob-p0137	အိုနွယ်သင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0090-re-p0138	အိုနွယ်သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0091-ob-p0138	မန္တလေးနန်းတွင်းရုံ ကျောက်တိုင်အမှတ် ၁၉ ကျောက်စာ	zenodo_4321314	not_started	
