ref_id	raw_reference	author	year	title	publication	pages	publisher	place	confidence	notes
frasch-ref-01668	U Than Tun, Hnaung-dwe, no. 23, p. 70	U Than Tun		Hnaung-dwe, no. 23, p. 70		70			medium	
frasch-ref-01681	U Min Hswe, no. 7	U Min Hswe		no. 7					medium	
frasch-ref-01700	U Min Hswe, no. 43	U Min Hswe		no. 43					medium	
frasch-ref-01702	U Kyaw, “Bagan Minsa”, p. 195	U Kyaw		“Bagan Minsa”, p. 195		195			medium	
frasch-ref-01733	U Min Hswe, nos. 83-4	U Min Hswe		nos. 83-4					medium	
frasch-ref-01741	U Min Hswe, no. 34	U Min Hswe		no. 34					medium	
frasch-ref-01754	U Min Hswe, no. 22-3	U Min Hswe		no. 22-3					medium	
frasch-ref-01799	U Than Tun, Hnaung-dwe, no. 37 p. 123	U Than Tun		Hnaung-dwe, no. 37 p. 123		123			medium	
frasch-ref-01825	Pichard, IMP 3, p. 119	Pichard		IMP 3, p. 119		119			medium	
frasch-ref-01826	U Min Hswe, no. 50	U Min Hswe		no. 50					medium	
frasch-ref-01858	U Min Hswe, no. 12	U Min Hswe		no. 12					medium	
frasch-ref-01874	U Min Hswe, no. 65	U Min Hswe		no. 65					medium	
frasch-ref-01899	Than Tun, Hnaung-dwe, no. 14, p. 38	Than Tun		Hnaung-dwe, no. 14, p. 38		38			medium	
frasch-ref-01900	U Min Hswe, no. 8	U Min Hswe		no. 8					medium	
frasch-ref-01910	U Kyaw, Bagan Minsa, p. 185	U Kyaw		Bagan Minsa, p. 185		185			medium	
frasch-ref-01916	U Min Hswe, no. 38	U Min Hswe		no. 38					medium	
frasch-ref-01917	Frasch, “Dhammasats,” App.	Frasch		“Dhammasats,” App.					medium	
frasch-ref-01929	U Than Tun, ROB 1, p. 31	U Than Tun		ROB 1, p. 31		31			medium	
frasch-ref-01930	U Than Tun, Buddhism, JBRS 1978, p. 24-29	U Than Tun	1978	Buddhism	Journal of the Burma Research Society	24-29			high	
frasch-ref-01931	U Hswai, JBRS 48 (2), 1965, p. 67, no. 10	U Hswai	1965	JBRS 48 (2), 1965, p. 67, no. 10	Journal of the Burma Research Society	67			high	
frasch-ref-01955	Than Tun, Hnaung-dwe, no. 15, p. 41	Than Tun		Hnaung-dwe, no. 15, p. 41		41			medium	
frasch-ref-01956	U Min Hswe, no. 26	U Min Hswe		no. 26					medium	
frasch-ref-01978	U Min Hswe, no. 62	U Min Hswe		no. 62					medium	
frasch-ref-01998	U Min Hswe, no. 2	U Min Hswe		no. 2					medium	
frasch-ref-02013	U Min Hswe, no. 82	U Min Hswe		no. 82					medium	
frasch-ref-02016	U Than Tun, Hnaung-dwe, no. 16, p. 44	U Than Tun		Hnaung-dwe, no. 16, p. 44		44			medium	
frasch-ref-02054	Hla Thamein, Bagan-hket, p. 99	Hla Thamein		Bagan-hket, p. 99		99			medium	
frasch-ref-02076	U Than Tun, Hnaung-dwe, no. 17, p. 48	U Than Tun		Hnaung-dwe, no. 17, p. 48		48			medium	
frasch-ref-02077	U Min Hswe, no. 33	U Min Hswe		no. 33					medium	
frasch-ref-02095	U Maung Maung Tin, Mya-wadi Magazine 1956, p. 81-87	U Maung Maung Tin	1956	Mya-wadi Magazine 1956, p. 81-87		81-87			high	
frasch-ref-02102	U Min Hswe, no. 25	U Min Hswe		no. 25					medium	
frasch-ref-02107	U Than Tun, JBRS 1978, p. 107	U Than Tun	1978	JBRS 1978, p. 107	Journal of the Burma Research Society	107			high	
frasch-ref-02117	U Min Hswe, no. 18	U Min Hswe		no. 18					medium	
frasch-ref-02127	U Min Hswe, no. 51	U Min Hswe		no. 51					medium	
frasch-ref-02132	U Min Hswe, no. 46	U Min Hswe		no. 46					medium	
frasch-ref-02137	U Bo Kay, Bagan Sutethana, p. 300	U Bo Kay		Bagan Sutethana, p. 300		300			medium	
frasch-ref-02141	U Min Hswe, no. 64	U Min Hswe		no. 64					medium	
frasch-ref-02193	U Min Hswe, no. 80	U Min Hswe		no. 80					medium	
frasch-ref-02195	Than Tun, Hnaung-dwe, no. 19, p. 55	Than Tun		Hnaung-dwe, no. 19, p. 55		55			medium	
frasch-ref-02196	U Min Hswe, no. 1	U Min Hswe		no. 1					medium	
frasch-ref-02215	U Min Hswe, no. 64	U Min Hswe		no. 64					medium	
frasch-ref-02254	U Min Hswe, no. 19	U Min Hswe		no. 19					medium	
frasch-ref-02255	Myaketu, Nandhale Hmattan, p. 29-30	Myaketu		Nandhale Hmattan, p. 29-30		29-30			medium	
frasch-ref-02273	U Min Hswe, no. 39	U Min Hswe		no. 39					medium	
frasch-ref-02290	Frasch, “Coastal Peripheries”, p. 74	Frasch		“Coastal Peripheries”, p. 74		74			medium	
frasch-ref-02303	Ray, Theravada Buddhism, p. 165	Ray		Theravada Buddhism, p. 165		165			medium	
frasch-ref-02308	Thomann, Pagan, p. 76-78	Thomann		Pagan, p. 76-78		76-78			medium	
frasch-ref-02346	Goonatilake, JRASSL 2009, p. 95	Goonatilake	2009	JRASSL 2009, p. 95	Journal of the Royal Asiatic Society	95			high	
frasch-ref-02354	U Min Hswe, no. 14	U Min Hswe		no. 14					medium	
frasch-ref-02399	Than Tun, Hnaung-dwe, no. 20, p. 62	Than Tun		Hnaung-dwe, no. 20, p. 62		62			medium	
frasch-ref-02400	U Min Hswe, no. 72	U Min Hswe		no. 72					medium	
frasch-ref-02401	U Than Tun, Hnaung-dwe, no. 21, p. 64	U Than Tun		Hnaung-dwe, no. 21, p. 64		64			medium	
frasch-ref-02402	U Min Hswe, no. 79	U Min Hswe		no. 79					medium	
frasch-ref-02436	U Min Hswe, no. 61	U Min Hswe		no. 61					medium	
frasch-ref-02534	U Min Hswe, ??	U Min Hswe		??					medium	
frasch-ref-02563	Hla Thamein, Bagan-hket, p. 96	Hla Thamein		Bagan-hket, p. 96		96			medium	
frasch-ref-02594	U Than Tun, Importance, p. 321-327: U Min Hswe, no. 72	U Than Tun		Importance, p. 321-327: U Min Hswe, no. 72		321-327			medium	
frasch-ref-02595	Hla Thamein, Bagan- hket, p. 118	Hla Thamein		Bagan- hket, p. 118		118			medium	
frasch-ref-02613	U Than Tun, Hnaung-dwe, no. 22, p. 68	U Than Tun		Hnaung-dwe, no. 22, p. 68		68			medium	
frasch-ref-02614	U Min Hswe, no. 48	U Min Hswe		no. 48					medium	
frasch-ref-02621	Ray, Theravada Buddhism, p. 162	Ray		Theravada Buddhism, p. 162		162			medium	
frasch-ref-02628	U Than Tun, Hnaung-dwe, no. 24, p. 72	U Than Tun		Hnaung-dwe, no. 24, p. 72		72			medium	
frasch-ref-02629	U Min Hswe, no.	U Min Hswe		no.					medium	
frasch-ref-02667	Harvey, History of Burma, p. 333	Harvey		History of Burma, p. 333		333			medium	
frasch-ref-02685	Burney, “Mission”, p. 161-189	Burney		“Mission”, p. 161-189		161-189			medium	
frasch-ref-02686	Cunningham, Mahabodhi, p. 75-77	Cunningham		Mahabodhi, p. 75-77		75-77			medium	
frasch-ref-02692	U Min Hswe, no. 60	U Min Hswe		no. 60					medium	
frasch-ref-02694	U Min Hswe, no. 13 (new)	U Min Hswe		no. 13 (new)					medium	
frasch-ref-02702	U Than Tun, Hnaung-dwe, no. 25, p. 74	U Than Tun		Hnaung-dwe, no. 25, p. 74		74			medium	
frasch-ref-02703	U Min Hswe, no. 56	U Min Hswe		no. 56					medium	
frasch-ref-02704	U Min Hswe, no. 36	U Min Hswe		no. 36					medium	
frasch-ref-02708	U Min Hswe, no. 27	U Min Hswe		no. 27					medium	
frasch-ref-02724	U Kyaw, “Bagan Minsa”, p. 193	U Kyaw		“Bagan Minsa”, p. 193		193			medium	
frasch-ref-02725	U Than Tun, Hnaung-dwe, no. 26, p. 80	U Than Tun		Hnaung-dwe, no. 26, p. 80		80			medium	
frasch-ref-02729	U Than Tun, Hnaung-dwe, no. 27, p. 83	U Than Tun		Hnaung-dwe, no. 27, p. 83		83			medium	
frasch-ref-02730	U Min Hswe, no. 75	U Min Hswe		no. 75					medium	
frasch-ref-02787	U Than Tun, Hnaung-dwe, no. 30, p. 91	U Than Tun		Hnaung-dwe, no. 30, p. 91		91			medium	
