raw_reference_string	occurrence_count
BA-184; List-478; IOB4-442/a BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
BA-185; List-482; IOB-446/a BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
BA-186; List-483; IOB4-450/b BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
BA-187; List-489; IOB4-453/a BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
BA-188; List-490; IOB4-455/a BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
BA-189; List-494; IOB4-455/b BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
BA-18; List-49 BED B 469-1; List 49; OBI 1, p. 329; SIP no. 3, p. 3; A, p. 18; MP, p. 13; cp. A, p. 17 (first part)	1
BA-190; List-493; IOB4-456/a BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
BA-191; List-492; IOB4-456/b BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
BA-192; List-497; IOB4-457/a BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
BA-193; List-499; IOB5-485/a	1
BA-194,; List-498,; IOB4-457/b	1
BA-195,; List-503,; IOB4-461/b	1
BA-197; List-515; IOB5-464/b	1
BA-198-199; List-532/a; IOB5-474	1
BA-19; List-50/a BED B 472-1; List 50 a+b; OBI 1, p. 331; SIP no. 4, p. 4; A, p. 19; TN, p.; MP 1, p. 5; Duroiselle, ARASI 1912, p. 149-51 (Hledaung inscr.)	1
BA-200; List-535/b; IOB5-475	1
BA-202,; List-523,; IOB5-467/d	1
BA-209; List-538; IOB5-482/b	1
BA-215; List-550; IOB5-486/b	1
BA-217; List-530; IOB5-470/a	1
BA-225-226; List-622; IOB5-546	1
BA-228 & 582; List 563 & 1436; IOB5-499/b	1
BA-229; List-56; IOB5-499/a	1
BA-244; List-585; IOB5-514/a	1
BA-254; List-598; IOB5-525/a	1
BA-270; List 634/a; IOB5-541/a	1
BA-271-272; List-634/b; IOB5-541/b	1
BA-273; List-634/c; IOB5-541/c	1
BA-274; List 634/d; IOB5-541/d	1
BA-27; List 72; IOB1-3 BED B 512-2; Pl. I 3; OBI 1, p. 26; List 72; MP 1, p. 25; A, p. 27; Luce/U Pe Maung Tin, BBHC 1 (2), 1960, p. 231-7	1
BA-28; List-73 BED B 513-3; List 73; OBI 1, p. 346; A, p. 28; SIP no. 17, p. 13	1
BA-332; List-772; IOB4 446/b BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
BA-34; List 108; IOB1-8/a BED B 544-1; Pl. I 8a; OBI 1, p. 44; List 108; A, p. 34; MP 1, p. 49; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 69	1
BA-36; List-125; IOB1-11 BED B 553-1; Pl. I 11; OBI 1, p. 54; List 125; A, p. 36; MP 1, p. 139; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 88	1
BA-395	1
BA-399,; List-944	1
