record_id	source_deposit	raw_reference_string
obi-v01-n0027-ob-p0048	zenodo_4321314	TN, p. 79
obi-v01-n0027-ob-p0048	zenodo_4321314	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96
obi-v01-n0028-ob-p0049	zenodo_4321314	IOB3-325 BED B 551-1
obi-v01-n0028-ob-p0049	zenodo_4321314	Pl. III 325
obi-v01-n0028-ob-p0049	zenodo_4321314	OBI 1, p. 49
obi-v01-n0029-ob-p0050	zenodo_4321314	IPPA-151
obi-v01-n0029-ob-p0050	zenodo_4321314	List-123/a
obi-v01-n0029-ob-p0050	zenodo_4321314	IOB1-10/a BED B 552-1
obi-v01-n0029-ob-p0050	zenodo_4321314	Pl. I 10a+b
obi-v01-n0029-ob-p0050	zenodo_4321314	OBI 1, p. 50
obi-v01-n0029-ob-p0050	zenodo_4321314	SIP no. 11, p. 19
obi-v01-n0029-ob-p0050	zenodo_4321314	UEM no. 8, p. 13
obi-v01-n0029-ob-p0050	zenodo_4321314	List 123a +b
obi-v01-n0029-ob-p0050	zenodo_4321314	PPA, p. 151
obi-v01-n0029-ob-p0050	zenodo_4321314	TN, p. 70
obi-v01-n0029-ob-p0050	zenodo_4321314	Duroiselle, JBRS 6.2, 1916, p. 88
obi-v01-n0029-ob-p0050	zenodo_4321314	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 80
obi-v01-n0029-ob-p0050	zenodo_4321314	Anthology 5, p. 84
obi-v01-n0029-ob-p0050	zenodo_4321314	U Min Hswe, no. 20
obi-v01-n0029-re-p0051	zenodo_4321314	IPPA-153, 154
obi-v01-n0029-re-p0051	zenodo_4321314	List-123/b
obi-v01-n0029-re-p0051	zenodo_4321314	IOB1-10/b
obi-v01-n0030-ob-p0053	zenodo_4321314	RDASB 1938-39
obi-v01-n0030-ob-p0053	zenodo_4321314	IOB4-365/b BED B 552-3
obi-v01-n0030-ob-p0053	zenodo_4321314	Pl. IV 365b
obi-v01-n0030-ob-p0053	zenodo_4321314	OBI 1, p. 53
obi-v01-n0031-ob-p0054	zenodo_4321314	BA-36
obi-v01-n0031-ob-p0054	zenodo_4321314	List-125
obi-v01-n0031-ob-p0054	zenodo_4321314	IOB1-11 BED B 553-1
obi-v01-n0031-ob-p0054	zenodo_4321314	Pl. I 11
obi-v01-n0031-ob-p0054	zenodo_4321314	OBI 1, p. 54
obi-v01-n0031-ob-p0054	zenodo_4321314	List 125
obi-v01-n0031-ob-p0054	zenodo_4321314	A, p. 36
obi-v01-n0031-ob-p0054	zenodo_4321314	MP 1, p. 139
obi-v01-n0031-ob-p0054	zenodo_4321314	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 88
obi-v01-n0032-ob-p0055	zenodo_4321314	IUB1-287
obi-v01-n0032-ob-p0055	zenodo_4321314	List-80
obi-v01-n0032-ob-p0055	zenodo_4321314	IOB1-12 BED B 554-1
obi-v01-n0032-ob-p0055	zenodo_4321314	Pl. I 12
obi-v01-n0032-ob-p0055	zenodo_4321314	OBI 1, p. 55
obi-v01-n0032-ob-p0055	zenodo_4321314	UEM no. 9, p. 16
obi-v01-n0032-ob-p0055	zenodo_4321314	List 80
obi-v01-n0032-ob-p0055	zenodo_4321314	UB1, p. 287
obi-v01-n0032-ob-p0055	zenodo_4321314	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 91
obi-v01-n0033-ob-p0056	zenodo_4321314	IOB1-9/a BED B 555-1
obi-v01-n0033-ob-p0056	zenodo_4321314	Pl. I 9a
obi-v01-n0033-ob-p0056	zenodo_4321314	OBI 1, p. 56
obi-v01-n0033-ob-p0056	zenodo_4321314	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 74
obi-v01-n0034-re-p0056	zenodo_4321314	IPPA-166
obi-v01-n0034-re-p0056	zenodo_4321314	List-144
obi-v01-n0034-re-p0056	zenodo_4321314	IOB1-14 BED B 558-1
obi-v01-n0034-re-p0056	zenodo_4321314	Pl. I 14
obi-v01-n0034-re-p0056	zenodo_4321314	OBI 1, p. 56
obi-v01-n0034-re-p0056	zenodo_4321314	List 144
obi-v01-n0034-re-p0056	zenodo_4321314	PPA, p. 166
obi-v01-n0034-re-p0056	zenodo_4321314	TN, p. 80
obi-v01-n0034-re-p0056	zenodo_4321314	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96
obi-v01-n0035-ob-p0057	zenodo_4321314	BED B 558-2
obi-v01-n0035-ob-p0057	zenodo_4321314	OBI 1, p. 57
obi-v01-n0036-ob-p0058	zenodo_4321314	IOB2-116 BED B 559-1
obi-v01-n0036-ob-p0058	zenodo_4321314	Pl. II 116
obi-v01-n0036-ob-p0058	zenodo_4321314	OBI 1, p. 58
obi-v01-n0036-ob-p0058	zenodo_4321314	RSASB 1915, p. 57
obi-v01-n0037-re-p0059	zenodo_4321314	BED B 559-2
obi-v01-n0037-re-p0059	zenodo_4321314	OBI 1, p. 59
obi-v01-n0038-ob-p0060	zenodo_4321314	IPPA-18
obi-v01-n0038-ob-p0060	zenodo_4321314	List-145/a
obi-v01-n0038-ob-p0060	zenodo_4321314	IOB1-15
obi-v01-n0038-re-p0061	zenodo_4321314	IPPA-20
obi-v01-n0038-re-p0061	zenodo_4321314	List 145/b
obi-v01-n0038-re-p0061	zenodo_4321314	IOB1-16
obi-v01-n0039-ob-p0062	zenodo_4321314	IUB2-197
obi-v01-n0039-ob-p0062	zenodo_4321314	IOB1-17
obi-v01-n0039-re-p0063	zenodo_4321314	IUB2-198
obi-v01-n0039-re-p0063	zenodo_4321314	IOB1-18
obi-v01-n0040-ob-p0064	zenodo_4321314	BA-128
obi-v01-n0040-ob-p0064	zenodo_4321314	List-380/b
